load FCdata file d8_0900_0930_road2_veh145.FCdata
v0:13.785,T:1.522,s0:0.59,a:1.67,b:5.252
For simulation by Ankit: sse is 447.4027111020711 and average error is 0.44011746879453106m
For simulation by Martin: sse is 458.24 and average error is 0.66 m
time= 2.2  speedData= 4.435  speedIDM= 4.435  gapData= 9.632  gapIDM= 9.632
time= 2.4  speedData= 4.563  speedIDM= 4.610  gapData= 9.890  gapIDM= 9.891
time= 2.6  speedData= 4.643  speedIDM= 4.774  gapData= 10.062  gapIDM= 10.030
time= 2.8  speedData= 4.672  speedIDM= 4.923  gapData= 10.147  gapIDM= 10.137
time= 3.0  speedData= 4.659  speedIDM= 5.056  gapData= 10.343  gapIDM= 10.218
time= 3.2  speedData= 4.629  speedIDM= 5.172  gapData= 10.428  gapIDM= 10.186
time= 3.4  speedData= 4.607  speedIDM= 5.266  gapData= 10.428  gapIDM= 10.134
time= 3.6  speedData= 4.608  speedIDM= 5.339  gapData= 10.515  gapIDM= 10.066
time= 3.8  speedData= 4.627  speedIDM= 5.394  gapData= 10.600  gapIDM= 9.983
time= 4.0  speedData= 4.653  speedIDM= 5.433  gapData= 10.686  gapIDM= 9.869
time= 4.2  speedData= 4.684  speedIDM= 5.458  gapData= 10.686  gapIDM= 9.772
time= 4.4  speedData= 4.718  speedIDM= 5.471  gapData= 10.795  gapIDM= 9.670
time= 4.6  speedData= 4.755  speedIDM= 5.474  gapData= 10.709  gapIDM= 9.481
time= 4.8  speedData= 4.798  speedIDM= 5.462  gapData= 10.709  gapIDM= 9.380
time= 5.0  speedData= 4.844  speedIDM= 5.444  gapData= 10.819  gapIDM= 9.281
time= 5.2  speedData= 4.889  speedIDM= 5.421  gapData= 10.709  gapIDM= 9.077
time= 5.4  speedData= 4.928  speedIDM= 5.385  gapData= 10.734  gapIDM= 8.988
time= 5.6  speedData= 4.963  speedIDM= 5.346  gapData= 10.709  gapIDM= 8.882
time= 5.8  speedData= 4.999  speedIDM= 5.300  gapData= 10.537  gapIDM= 8.724
time= 6.0  speedData= 5.029  speedIDM= 5.242  gapData= 10.451  gapIDM= 8.551
time= 6.2  speedData= 5.044  speedIDM= 5.171  gapData= 10.366  gapIDM= 8.416
time= 6.4  speedData= 5.034  speedIDM= 5.092  gapData= 10.108  gapIDM= 8.186
time= 6.6  speedData= 4.995  speedIDM= 4.997  gapData= 9.936  gapIDM= 7.997
time= 6.8  speedData= 4.924  speedIDM= 4.892  gapData= 9.680  gapIDM= 7.719
time= 7.0  speedData= 4.829  speedIDM= 4.770  gapData= 9.508  gapIDM= 7.573
time= 7.2  speedData= 4.724  speedIDM= 4.649  gapData= 9.141  gapIDM= 7.256
time= 7.4  speedData= 4.624  speedIDM= 4.508  gapData= 8.969  gapIDM= 7.050
time= 7.6  speedData= 4.538  speedIDM= 4.368  gapData= 8.687  gapIDM= 6.787
time= 7.8  speedData= 4.464  speedIDM= 4.224  gapData= 8.406  gapIDM= 6.553
time= 8.0  speedData= 4.394  speedIDM= 4.083  gapData= 8.174  gapIDM= 6.371
time= 8.2  speedData= 4.328  speedIDM= 3.954  gapData= 7.892  gapIDM= 6.191
time= 8.4  speedData= 4.265  speedIDM= 3.834  gapData= 7.611  gapIDM= 6.037
time= 8.6  speedData= 4.203  speedIDM= 3.725  gapData= 7.354  gapIDM= 5.820
time= 8.8  speedData= 4.146  speedIDM= 3.616  gapData= 7.157  gapIDM= 5.710
time= 9.0  speedData= 4.091  speedIDM= 3.523  gapData= 6.986  gapIDM= 5.621
time= 9.2  speedData= 4.035  speedIDM= 3.446  gapData= 6.791  gapIDM= 5.549
time= 9.4  speedData= 3.973  speedIDM= 3.380  gapData= 6.619  gapIDM= 5.491
time= 9.6  speedData= 3.907  speedIDM= 3.322  gapData= 6.386  gapIDM= 5.383
time= 9.8  speedData= 3.837  speedIDM= 3.258  gapData= 6.215  gapIDM= 5.350
time= 10.0  speedData= 3.762  speedIDM= 3.197  gapData= 6.019  gapIDM= 5.244
time= 10.2  speedData= 3.681  speedIDM= 3.123  gapData= 5.676  gapIDM= 5.065
time= 10.4  speedData= 3.591  speedIDM= 3.028  gapData= 5.419  gapIDM= 4.903
time= 10.6  speedData= 3.494  speedIDM= 2.922  gapData= 5.138  gapIDM= 4.737
time= 10.8  speedData= 3.394  speedIDM= 2.810  gapData= 4.794  gapIDM= 4.530
time= 11.0  speedData= 3.284  speedIDM= 2.688  gapData= 4.599  gapIDM= 4.434
time= 11.2  speedData= 3.164  speedIDM= 2.583  gapData= 4.317  gapIDM= 4.250
time= 11.4  speedData= 3.030  speedIDM= 2.472  gapData= 3.973  gapIDM= 4.025
time= 11.6  speedData= 2.880  speedIDM= 2.349  gapData= 3.717  gapIDM= 3.911
time= 11.8  speedData= 2.711  speedIDM= 2.242  gapData= 3.435  gapIDM= 3.709
time= 12.0  speedData= 2.529  speedIDM= 2.125  gapData= 3.177  gapIDM= 3.553
time= 12.2  speedData= 2.346  speedIDM= 2.013  gapData= 2.896  gapIDM= 3.397
time= 12.4  speedData= 2.175  speedIDM= 1.904  gapData= 2.810  gapIDM= 3.286
time= 12.6  speedData= 2.021  speedIDM= 1.810  gapData= 2.529  gapIDM= 3.087
time= 12.8  speedData= 1.879  speedIDM= 1.700  gapData= 2.419  gapIDM= 2.993
time= 13.0  speedData= 1.749  speedIDM= 1.612  gapData= 2.247  gapIDM= 2.834
time= 13.2  speedData= 1.632  speedIDM= 1.517  gapData= 2.075  gapIDM= 2.716
time= 13.4  speedData= 1.532  speedIDM= 1.431  gapData= 1.880  gapIDM= 2.593
time= 13.6  speedData= 1.452  speedIDM= 1.347  gapData= 1.794  gapIDM= 2.487
time= 13.8  speedData= 1.398  speedIDM= 1.270  gapData= 1.708  gapIDM= 2.420
time= 14.0  speedData= 1.360  speedIDM= 1.209  gapData= 1.537  gapIDM= 2.258
time= 14.2  speedData= 1.318  speedIDM= 1.122  gapData= 1.450  gapIDM= 2.220
time= 14.4  speedData= 1.253  speedIDM= 1.068  gapData= 1.279  gapIDM= 2.087
time= 14.6  speedData= 1.150  speedIDM= 0.993  gapData= 1.083  gapIDM= 1.967
time= 14.8  speedData= 1.010  speedIDM= 0.912  gapData= 1.022  gapIDM= 1.886
time= 15.0  speedData= 0.846  speedIDM= 0.846  gapData= 0.912  gapIDM= 1.797
time= 15.2  speedData= 0.678  speedIDM= 0.781  gapData= 0.741  gapIDM= 1.634
time= 15.4  speedData= 0.525  speedIDM= 0.682  gapData= 0.655  gapIDM= 1.488
time= 15.6  speedData= 0.393  speedIDM= 0.582  gapData= 0.545  gapIDM= 1.361
time= 15.8  speedData= 0.279  speedIDM= 0.495  gapData= 0.459  gapIDM= 1.254
time= 16.0  speedData= 0.192  speedIDM= 0.422  gapData= 0.459  gapIDM= 1.162
time= 16.2  speedData= 0.135  speedIDM= 0.362  gapData= 0.459  gapIDM= 1.083
time= 16.4  speedData= 0.090  speedIDM= 0.311  gapData= 0.373  gapIDM= 1.016
time= 16.6  speedData= 0.052  speedIDM= 0.268  gapData= 0.459  gapIDM= 0.958
time= 16.8  speedData= 0.032  speedIDM= 0.231  gapData= 0.459  gapIDM= 0.908
time= 17.0  speedData= 0.028  speedIDM= 0.199  gapData= 0.459  gapIDM= 0.865
time= 17.2  speedData= 0.016  speedIDM= 0.172  gapData= 0.459  gapIDM= 0.828
time= 17.4  speedData= 0.005  speedIDM= 0.148  gapData= 0.459  gapIDM= 0.796
time= 17.6  speedData= 0.000  speedIDM= 0.128  gapData= 0.459  gapIDM= 0.768
time= 17.8  speedData= 0.000  speedIDM= 0.111  gapData= 0.459  gapIDM= 0.744
