load FCdata file d8_0900_0930_road2_veh145.FCdata
v0:13.785,T:1.522,s0:0.59,a:1.67,b:5.252
v0:6.882,T:1.404,s0:0.421,a:0.969,b:4.701
v0:9.047,T:2.16,s0:1.346,a:1.571,b:1.92
For simulation by Ankit: sse is 1921.345019504541 and average error is 1.4276930264354841m
For simulation by Martin: sse is 458.24 and average error is 0.66 m
time= 424.2  speedData= 5.662  speedIDM= 5.662  gapData= 8.734  gapIDM= 8.734
time= 424.4  speedData= 5.227  speedIDM= 3.862  gapData= 7.656  gapIDM= 7.782
time= 424.6  speedData= 4.824  speedIDM= 3.151  gapData= 6.665  gapIDM= 7.080
time= 424.8  speedData= 4.438  speedIDM= 2.701  gapData= 5.782  gapIDM= 6.495
time= 425.0  speedData= 4.058  speedIDM= 2.371  gapData= 4.877  gapIDM= 5.988
time= 425.2  speedData= 3.671  speedIDM= 2.111  gapData= 4.166  gapIDM= 5.540
time= 425.4  speedData= 3.264  speedIDM= 1.895  gapData= 3.433  gapIDM= 5.139
time= 425.6  speedData= 2.844  speedIDM= 1.710  gapData= 2.808  gapIDM= 4.779
time= 425.8  speedData= 2.425  speedIDM= 1.548  gapData= 2.270  gapIDM= 4.453
time= 426.0  speedData= 2.018  speedIDM= 1.403  gapData= 1.817  gapIDM= 4.158
time= 426.2  speedData= 1.641  speedIDM= 1.273  gapData= 1.473  gapIDM= 3.890
time= 426.4  speedData= 1.325  speedIDM= 1.155  gapData= 1.192  gapIDM= 3.647
time= 426.6  speedData= 1.086  speedIDM= 1.048  gapData= 1.020  gapIDM= 3.427
time= 426.8  speedData= 0.899  speedIDM= 0.950  gapData= 0.826  gapIDM= 3.227
time= 427.0  speedData= 0.723  speedIDM= 0.863  gapData= 0.654  gapIDM= 3.046
time= 427.2  speedData= 0.547  speedIDM= 0.789  gapData= 0.567  gapIDM= 2.967
time= 427.4  speedData= 0.403  speedIDM= 0.748  gapData= 0.481  gapIDM= 2.813
time= 427.6  speedData= 0.300  speedIDM= 0.700  gapData= 0.675  gapIDM= 2.862
time= 427.8  speedData= 0.195  speedIDM= 0.695  gapData= 0.869  gapIDM= 2.916
time= 428.0  speedData= 0.111  speedIDM= 0.704  gapData= 0.955  gapIDM= 2.863
time= 428.2  speedData= 0.078  speedIDM= 0.693  gapData= 1.041  gapIDM= 2.809
time= 428.4  speedData= 0.070  speedIDM= 0.669  gapData= 1.041  gapIDM= 2.673
time= 428.6  speedData= 0.041  speedIDM= 0.616  gapData= 1.041  gapIDM= 2.544
time= 428.8  speedData= 0.007  speedIDM= 0.555  gapData= 1.041  gapIDM= 2.427
time= 429.0  speedData= 0.000  speedIDM= 0.500  gapData= 1.041  gapIDM= 2.322
time= 429.2  speedData= 0.000  speedIDM= 0.450  gapData= 1.041  gapIDM= 2.227
time= 429.4  speedData= 0.000  speedIDM= 0.406  gapData= 1.041  gapIDM= 2.141
time= 429.6  speedData= 0.000  speedIDM= 0.367  gapData= 1.041  gapIDM= 2.064
time= 429.8  speedData= 0.000  speedIDM= 0.331  gapData= 1.041  gapIDM= 1.994
time= 430.0  speedData= 0.000  speedIDM= 0.300  gapData= 1.041  gapIDM= 1.931
time= 430.2  speedData= 0.000  speedIDM= 0.272  gapData= 1.041  gapIDM= 1.873
time= 430.4  speedData= 0.000  speedIDM= 0.248  gapData= 1.041  gapIDM= 1.821
time= 430.6  speedData= 0.000  speedIDM= 0.227  gapData= 1.128  gapIDM= 1.861
time= 430.8  speedData= 0.000  speedIDM= 0.239  gapData= 1.214  gapIDM= 1.900
time= 431.0  speedData= 0.000  speedIDM= 0.257  gapData= 1.386  gapIDM= 2.023
time= 431.2  speedData= 0.000  speedIDM= 0.300  gapData= 1.473  gapIDM= 2.054
time= 431.4  speedData= 0.000  speedIDM= 0.326  gapData= 1.645  gapIDM= 2.163
time= 431.6  speedData= 0.000  speedIDM= 0.366  gapData= 1.752  gapIDM= 2.201
time= 431.8  speedData= 0.000  speedIDM= 0.394  gapData= 1.839  gapIDM= 2.212
time= 432.0  speedData= 0.001  speedIDM= 0.411  gapData= 2.011  gapIDM= 2.303
time= 432.2  speedData= 0.003  speedIDM= 0.446  gapData= 2.184  gapIDM= 2.391
time= 432.4  speedData= 0.036  speedIDM= 0.490  gapData= 2.464  gapIDM= 2.577
time= 432.6  speedData= 0.182  speedIDM= 0.560  gapData= 2.744  gapIDM= 2.752
time= 432.8  speedData= 0.393  speedIDM= 0.640  gapData= 3.175  gapIDM= 3.063
time= 433.0  speedData= 0.649  speedIDM= 0.747  gapData= 3.541  gapIDM= 3.290
time= 433.2  speedData= 0.955  speedIDM= 0.859  gapData= 3.821  gapIDM= 3.582
time= 433.4  speedData= 1.301  speedIDM= 0.982  gapData= 4.101  gapIDM= 3.936
time= 433.6  speedData= 1.609  speedIDM= 1.120  gapData= 4.446  gapIDM= 4.351
time= 433.8  speedData= 1.867  speedIDM= 1.274  gapData= 4.727  gapIDM= 4.737
time= 434.0  speedData= 2.137  speedIDM= 1.439  gapData= 5.006  gapIDM= 5.198
time= 434.2  speedData= 2.418  speedIDM= 1.618  gapData= 5.458  gapIDM= 5.775
time= 434.4  speedData= 2.703  speedIDM= 1.814  gapData= 5.825  gapIDM= 6.337
time= 434.6  speedData= 2.981  speedIDM= 2.019  gapData= 6.277  gapIDM= 6.944
time= 434.8  speedData= 3.249  speedIDM= 2.233  gapData= 6.730  gapIDM= 7.597
time= 435.0  speedData= 3.499  speedIDM= 2.453  gapData= 7.161  gapIDM= 8.292
time= 435.2  speedData= 3.727  speedIDM= 2.675  gapData= 7.614  gapIDM= 8.943
time= 435.4  speedData= 3.930  speedIDM= 2.896  gapData= 7.958  gapIDM= 9.463
time= 435.6  speedData= 4.118  speedIDM= 3.113  gapData= 8.324  gapIDM= 10.025
time= 435.8  speedData= 4.301  speedIDM= 3.325  gapData= 8.669  gapIDM= 10.631
time= 436.0  speedData= 4.485  speedIDM= 3.534  gapData= 9.036  gapIDM= 11.109
time= 436.2  speedData= 4.678  speedIDM= 3.738  gapData= 9.294  gapIDM= 11.631
time= 436.4  speedData= 4.876  speedIDM= 3.940  gapData= 9.639  gapIDM= 12.113
time= 436.6  speedData= 5.074  speedIDM= 4.139  gapData= 10.005  gapIDM= 12.641
time= 436.8  speedData= 5.266  speedIDM= 4.339  gapData= 10.285  gapIDM= 13.151
time= 437.0  speedData= 5.445  speedIDM= 4.540  gapData= 10.629  gapIDM= 13.685
time= 437.2  speedData= 5.595  speedIDM= 4.741  gapData= 11.082  gapIDM= 14.287
time= 437.4  speedData= 5.707  speedIDM= 4.944  gapData= 11.534  gapIDM= 14.934
time= 437.6  speedData= 5.791  speedIDM= 5.147  gapData= 11.965  gapIDM= 15.519
time= 437.8  speedData= 5.861  speedIDM= 5.348  gapData= 12.503  gapIDM= 16.171
time= 438.0  speedData= 5.925  speedIDM= 5.544  gapData= 13.042  gapIDM= 16.784
time= 438.2  speedData= 5.988  speedIDM= 5.735  gapData= 13.581  gapIDM= 17.359
time= 438.4  speedData= 6.058  speedIDM= 5.918  gapData= 14.098  gapIDM= 17.982
time= 438.6  speedData= 6.136  speedIDM= 6.092  gapData= 14.723  gapIDM= 18.569
time= 438.8  speedData= 6.216  speedIDM= 6.258  gapData= 15.262  gapIDM= 19.123
time= 439.0  speedData= 6.290  speedIDM= 6.415  gapData= 15.800  gapIDM= 19.644
time= 439.2  speedData= 6.362  speedIDM= 6.564  gapData= 16.317  gapIDM= 20.134
time= 439.4  speedData= 6.436  speedIDM= 6.705  gapData= 16.856  gapIDM= 20.682
time= 439.6  speedData= 6.513  speedIDM= 6.838  gapData= 17.481  gapIDM= 21.203
time= 439.8  speedData= 6.589  speedIDM= 6.965  gapData= 18.019  gapIDM= 21.696
time= 440.0  speedData= 6.663  speedIDM= 7.085  gapData= 18.730  gapIDM= 22.273
time= 440.2  speedData= 6.733  speedIDM= 7.199  gapData= 19.269  gapIDM= 22.720
time= 440.4  speedData= 6.791  speedIDM= 7.307  gapData= 19.894  gapIDM= 23.316
time= 440.6  speedData= 6.834  speedIDM= 7.409  gapData= 20.540  gapIDM= 23.827
time= 440.8  speedData= 6.866  speedIDM= 7.505  gapData= 21.231  gapIDM= 24.383
time= 441.0  speedData= 6.895  speedIDM= 7.593  gapData= 21.791  gapIDM= 24.855
time= 441.2  speedData= 6.922  speedIDM= 7.672  gapData= 22.416  gapIDM= 25.290
time= 441.4  speedData= 6.949  speedIDM= 7.742  gapData= 23.041  gapIDM= 25.816
time= 441.6  speedData= 6.977  speedIDM= 7.804  gapData= 23.580  gapIDM= 26.137
time= 441.8  speedData= 7.007  speedIDM= 7.858  gapData= 24.097  gapIDM= 26.532
time= 442.0  speedData= 7.031  speedIDM= 7.904  gapData= 24.722  gapIDM= 26.937
time= 442.2  speedData= 7.046  speedIDM= 7.946  gapData= 25.261  gapIDM= 27.313
time= 442.4  speedData= 7.052  speedIDM= 7.982  gapData= 25.693  gapIDM= 27.596
time= 442.6  speedData= 7.053  speedIDM= 8.014  gapData= 26.232  gapIDM= 27.871
time= 442.8  speedData= 7.051  speedIDM= 8.043  gapData= 26.750  gapIDM= 28.226
time= 443.0  speedData= 7.048  speedIDM= 8.069  gapData= 27.223  gapIDM= 28.510
time= 443.2  speedData= 7.049  speedIDM= 8.091  gapData= 27.654  gapIDM= 28.769
time= 443.4  speedData= 7.055  speedIDM= 8.108  gapData= 28.193  gapIDM= 29.024
time= 443.6  speedData= 7.070  speedIDM= 8.120  gapData= 28.625  gapIDM= 29.277
time= 443.8  speedData= 7.092  speedIDM= 8.123  gapData= 28.992  gapIDM= 29.441
time= 444.0  speedData= 7.122  speedIDM= 8.118  gapData= 29.165  gapIDM= 29.433
time= 444.2  speedData= 7.161  speedIDM= 8.103  gapData= 29.338  gapIDM= 29.406
time= 444.4  speedData= 7.204  speedIDM= 8.078  gapData= 29.532  gapIDM= 29.404
time= 444.6  speedData= 7.247  speedIDM= 8.045  gapData= 29.512  gapIDM= 29.215
time= 444.8  speedData= 7.286  speedIDM= 8.003  gapData= 29.512  gapIDM= 29.032
time= 445.0  speedData= 7.316  speedIDM= 7.953  gapData= 29.253  gapIDM= 28.706
time= 445.2  speedData= 7.332  speedIDM= 7.892  gapData= 29.081  gapIDM= 28.372
time= 445.4  speedData= 7.331  speedIDM= 7.820  gapData= 28.802  gapIDM= 27.964
time= 445.6  speedData= 7.326  speedIDM= 7.734  gapData= 28.350  gapIDM= 27.486
time= 445.8  speedData= 7.335  speedIDM= 7.632  gapData= 27.811  gapIDM= 26.834
time= 446.0  speedData= 7.352  speedIDM= 7.511  gapData= 27.186  gapIDM= 26.137
time= 446.2  speedData= 7.369  speedIDM= 7.372  gapData= 26.281  gapIDM= 25.273
time= 446.4  speedData= 7.377  speedIDM= 7.215  gapData= 25.484  gapIDM= 24.439
time= 446.6  speedData= 7.362  speedIDM= 7.045  gapData= 24.494  gapIDM= 23.552
time= 446.8  speedData= 7.297  speedIDM= 6.865  gapData= 23.503  gapIDM= 22.613
time= 447.0  speedData= 7.165  speedIDM= 6.677  gapData= 22.406  gapIDM= 21.605
time= 447.2  speedData= 6.985  speedIDM= 6.478  gapData= 21.330  gapIDM= 20.656
time= 447.4  speedData= 6.785  speedIDM= 6.272  gapData= 20.166  gapIDM= 19.640
time= 447.6  speedData= 6.579  speedIDM= 6.055  gapData= 19.109  gapIDM= 18.686
time= 447.8  speedData= 6.372  speedIDM= 5.831  gapData= 18.118  gapIDM= 17.756
time= 448.0  speedData= 6.172  speedIDM= 5.599  gapData= 16.956  gapIDM= 16.700
time= 448.2  speedData= 5.980  speedIDM= 5.353  gapData= 15.792  gapIDM= 15.691
time= 448.4  speedData= 5.775  speedIDM= 5.096  gapData= 14.715  gapIDM= 14.733
time= 448.6  speedData= 5.540  speedIDM= 4.835  gapData= 13.638  gapIDM= 13.826
time= 448.8  speedData= 5.280  speedIDM= 4.575  gapData= 12.581  gapIDM= 12.885
time= 449.0  speedData= 5.003  speedIDM= 4.313  gapData= 11.504  gapIDM= 11.996
time= 449.2  speedData= 4.718  speedIDM= 4.054  gapData= 10.533  gapIDM= 11.160
time= 449.4  speedData= 4.433  speedIDM= 3.801  gapData= 9.629  gapIDM= 10.374
time= 449.6  speedData= 4.156  speedIDM= 3.556  gapData= 8.811  gapIDM= 9.638
time= 449.8  speedData= 3.894  speedIDM= 3.320  gapData= 8.013  gapIDM= 8.951
time= 450.0  speedData= 3.650  speedIDM= 3.093  gapData= 7.282  gapIDM= 8.310
time= 450.2  speedData= 3.423  speedIDM= 2.874  gapData= 6.570  gapIDM= 7.713
time= 450.4  speedData= 3.209  speedIDM= 2.664  gapData= 5.839  gapIDM= 7.159
time= 450.6  speedData= 3.004  speedIDM= 2.463  gapData= 5.300  gapIDM= 6.646
time= 450.8  speedData= 2.802  speedIDM= 2.272  gapData= 4.675  gapIDM= 6.173
time= 451.0  speedData= 2.599  speedIDM= 2.091  gapData= 4.137  gapIDM= 5.737
time= 451.2  speedData= 2.394  speedIDM= 1.920  gapData= 3.598  gapIDM= 5.335
time= 451.4  speedData= 2.183  speedIDM= 1.759  gapData= 3.166  gapIDM= 4.967
time= 451.6  speedData= 1.968  speedIDM= 1.609  gapData= 2.800  gapIDM= 4.631
time= 451.8  speedData= 1.755  speedIDM= 1.469  gapData= 2.368  gapIDM= 4.323
time= 452.0  speedData= 1.531  speedIDM= 1.339  gapData= 2.088  gapIDM= 4.042
time= 452.2  speedData= 1.284  speedIDM= 1.218  gapData= 1.743  gapIDM= 3.786
time= 452.4  speedData= 1.028  speedIDM= 1.107  gapData= 1.484  gapIDM= 3.554
time= 452.6  speedData= 0.758  speedIDM= 1.005  gapData= 1.311  gapIDM= 3.343
time= 452.8  speedData= 0.509  speedIDM= 0.911  gapData= 1.224  gapIDM= 3.151
time= 453.0  speedData= 0.301  speedIDM= 0.826  gapData= 1.138  gapIDM= 2.977
time= 453.2  speedData= 0.151  speedIDM= 0.748  gapData= 1.138  gapIDM= 2.820
time= 453.4  speedData= 0.063  speedIDM= 0.677  gapData= 1.138  gapIDM= 2.677
time= 453.6  speedData= 0.026  speedIDM= 0.612  gapData= 1.138  gapIDM= 2.548
time= 453.8  speedData= 0.028  speedIDM= 0.554  gapData= 1.138  gapIDM= 2.432
time= 454.0  speedData= 0.029  speedIDM= 0.500  gapData= 1.138  gapIDM= 2.327
time= 454.2  speedData= 0.027  speedIDM= 0.452  gapData= 1.138  gapIDM= 2.231
time= 454.4  speedData= 0.030  speedIDM= 0.408  gapData= 1.138  gapIDM= 2.145
time= 454.6  speedData= 0.071  speedIDM= 0.369  gapData= 1.138  gapIDM= 2.068
time= 454.8  speedData= 0.138  speedIDM= 0.333  gapData= 1.138  gapIDM= 1.997
time= 455.0  speedData= 0.223  speedIDM= 0.301  gapData= 1.138  gapIDM= 1.934
time= 455.2  speedData= 0.335  speedIDM= 0.272  gapData= 1.031  gapIDM= 1.877
time= 455.4  speedData= 0.388  speedIDM= 0.245  gapData= 1.031  gapIDM= 1.825
time= 455.6  speedData= 0.459  speedIDM= 0.221  gapData= 0.945  gapIDM= 1.778
time= 455.8  speedData= 0.497  speedIDM= 0.200  gapData= 0.752  gapIDM= 1.736
time= 456.0  speedData= 0.531  speedIDM= 0.180  gapData= 0.838  gapIDM= 1.698
time= 456.2  speedData= 0.604  speedIDM= 0.163  gapData= 0.945  gapIDM= 1.664
time= 456.4  speedData= 0.690  speedIDM= 0.147  gapData= 1.031  gapIDM= 1.633
time= 456.6  speedData= 1.086  speedIDM= 0.133  gapData= 1.224  gapIDM= 1.605
time= 456.8  speedData= 1.562  speedIDM= 0.120  gapData= 1.417  gapIDM= 1.580
time= 457.0  speedData= 1.887  speedIDM= 0.108  gapData= 1.138  gapIDM= 1.557
time= 457.2  speedData= 2.055  speedIDM= 0.098  gapData= 0.559  gapIDM= 1.536
time= 457.4  speedData= 2.153  speedIDM= 0.088  gapData= 0.000  gapIDM= 1.518
time= 457.6  speedData= 2.060  speedIDM= 0.079  gapData= -0.386  gapIDM= 1.501
time= 457.8  speedData= 1.703  speedIDM= 0.072  gapData= -0.772  gapIDM= 1.486
time= 458.0  speedData= 1.414  speedIDM= 0.065  gapData= -0.965  gapIDM= 1.472
time= 458.2  speedData= 1.342  speedIDM= 0.058  gapData= -1.178  gapIDM= 1.460
time= 458.4  speedData= 1.393  speedIDM= 0.053  gapData= -1.458  gapIDM= 1.449
time= 458.6  speedData= 1.547  speedIDM= 1.547  gapData= 4.220  gapIDM= 4.220
time= 458.8  speedData= 1.752  speedIDM= 1.351  gapData= 4.007  gapIDM= 3.930
time= 459.0  speedData= 1.977  speedIDM= 1.198  gapData= 3.707  gapIDM= 3.675
time= 459.2  speedData= 2.204  speedIDM= 2.204  gapData= 37.676  gapIDM= 37.676
time= 459.4  speedData= 2.411  speedIDM= 2.509  gapData= 37.828  gapIDM= 37.743
time= 459.6  speedData= 2.586  speedIDM= 2.811  gapData= 37.788  gapIDM= 37.663
time= 459.8  speedData= 2.754  speedIDM= 3.109  gapData= 37.767  gapIDM= 37.523
time= 460.0  speedData= 2.940  speedIDM= 3.400  gapData= 37.575  gapIDM= 37.238
time= 460.2  speedData= 3.145  speedIDM= 3.684  gapData= 37.169  gapIDM= 36.788
time= 460.4  speedData= 3.373  speedIDM= 3.958  gapData= 36.804  gapIDM= 36.304
time= 460.6  speedData= 3.611  speedIDM= 4.219  gapData= 36.418  gapIDM= 35.745
time= 460.8  speedData= 3.852  speedIDM= 4.466  gapData= 35.752  gapIDM= 34.963
time= 461.0  speedData= 4.084  speedIDM= 4.696  gapData= 34.935  gapIDM= 34.047
time= 461.2  speedData= 4.291  speedIDM= 4.905  gapData= 34.117  gapIDM= 33.087
time= 461.4  speedData= 4.457  speedIDM= 5.092  gapData= 33.213  gapIDM= 32.087
time= 461.6  speedData= 4.574  speedIDM= 5.256  gapData= 32.309  gapIDM= 31.052
time= 461.8  speedData= 4.658  speedIDM= 5.397  gapData= 31.319  gapIDM= 29.987
time= 462.0  speedData= 4.732  speedIDM= 5.512  gapData= 30.415  gapIDM= 28.896
time= 462.2  speedData= 4.803  speedIDM= 5.601  gapData= 29.426  gapIDM= 27.784
time= 462.4  speedData= 4.874  speedIDM= 5.665  gapData= 28.436  gapIDM= 26.658
time= 462.6  speedData= 4.945  speedIDM= 5.702  gapData= 27.446  gapIDM= 25.521
time= 462.8  speedData= 5.013  speedIDM= 5.712  gapData= 26.457  gapIDM= 24.380
